2	TOC Heading	مادران و دختران
102	Normal	مادر چیزی نگفت. خمیازه‌یی کشید و دارویش را با آب سر کشید. گفتم: «اعصاب است، تشویش نکو. خوب می‌شوی.» آهِ دردباری از دل بیرون کشید و بعد با نفس عمیقی هوا را داخل ریه‌هایش جا داد و گفت: «نمیشه. بدون تشویش نمیشه.» دوباره گفتم: «خدا مهربان است، تشویش نکن.»
103	Normal	از وقتی که برادرم رفته سفر، سفره تشویش مادر هم همیشه پهن است. داکتر گفته نباید تشویش کند، اما خودش راضی نیست. با تشویش خو گرفته، نمی‌شود کاریش کرد.
104	Normal	مادر پرسید: «زنگ نزده؟» گفتم: «نه، انترنتش خاموش است.» دوباره مادر گفت: «شام شده، هنوز خاموش است؟»
105	Normal	پدر خونسردانه گفت: «کار مردم است، دست خودش که نیست. به نا حق تشویش می‌کنی.»
106	Normal	گفتم: «مادر زنگه!» خندید، بعد گفت: «برادرته؟» گفتم: «نه، خواهرم است.» لبخند از لبش محو شد. چیزی نگفت. رفت تسبیحش را گرفت و پشتش را به دیوار تکیه داد.
107	Normal	به دنبال نان تا به ایران
108	Normal	زمانیکه خواهرم تولد شد، مادر شانزده‌ساله بوده. در آن وقت پدر خانه نبود.‌ قبل از به دنیا آمدن خواهرم رفته بود. حتی روزی که از خانه رفته بود، مادر نمی‌دانست. پدر دستش تنگ بود و حالش خراب. با کاکایم در یک خانه، زیر یک سقف زندگی می‌کرده‌اند. تا زمانی‌که کاکایم بساطش را از دنیا جمع نکرد، با هم بودند.
109	Normal	پدر راه مهاجرت را در پیش گرفت. اولین بارش نبود که از خانه بی‌خبر می‌رفت. یک‌بار قبل از ازدواجش با مادر، رفته بود. اما این بار رفتنش دشوار بود.‌ تنها بود و بساطش خالی. زمستان نفس های آخرش را می‌کشید، اما برف ها هنوز آب نشده بود. روستایی که در آن اجدادم به خواب هزار‌ساله رفته و پدرم چشم گشوده، جای دور افتاده‌ای است. راه‌ها برف‌گیر است و دور از گذر موترها قرار دارد. اگر کسی می‌خواست به کابل برسد، باید ساعت‌ها راه می‌رفت با پای پیاده میان برف که تا کمر آدم را حلقه می‌کرد. پدر در چنین اوضاعی بساطش را جمع کرد و راه سفر را در پیش گرفت.
110	Normal	دو روز بود که کسی از پدر احوال نداشت. کاکایم نگران شده بود. مادر کلان سفره‌ی عزا پهن کرده بود. مادر به مسجد می‌رفت و دعا می‌کرد. روز‌های زیادی پشت سر هم می‌گذشت، ولی نه پیامی و نه احوالی از پدر بود.
111	Normal	پدر در کابل با شوهر عمه یک‌جا شده به طرف مرز ایران حرکت کرده بود. راه را نصفه نیمه کرده که بیمار می‌شود. در یک هتل بی‌ سر و سامان، بیست و پنج روز در بستر با درد در کشمکش می‌شود. از قسمت پا مجروح می‌شود. در واقع روزهای که قرار بود، فردا یا پس فردا عازم مرز ایران بشنوند، نکبت پایش می‌سوزد. گیلاس چایش حرام می‌شود و پایش را از آبله می‌پوشاند. جورابش را با پوست پایش یک‌جا می‌کشند. یکی از همراهان سفرش برایش گفته بود که باید پایش را در آب سرد فرو کند. سه ساعتی همین کار را کرده، اما روبراه نشده بود. وضعش وخیم و نیرویش ضعیف شده بود. نه دارو و داکتری، آن دور بر مسافرخانه محل اقامت بود. فقط گاهی با آب پایش را می‌شست و کمی داروی گیاهی که صاحب هتل داده بود، روی زخمش می‌ریخت.
112	Normal	از رسیدن شوهر عمه به ایران روز ها گذشته بود، اما پدر هنوز هم در خاک‌های تفتیده‌ای قندهار نفس می‌کشید. بعد از بیست و پنج روز بود که خانواده، اندکی از احوالش باخبر شده بودند، نه اینکه بیمار شده، بلکه می‌گفتند به ایران رفته و حتماً حالش هم سر جایش است. پدر بعد از بیست و پنج روز استراحت خواسته بود که هر طور شده با مسافرین تازه رسیده و قاچاق‌بر، راه مرز را در پیش بگیرد.
113	Normal	بین مرز ایران و افغانستان را پیاده می‌رفتند.‌ انبوهی از مردم بعضی تندپا  و بعضی هم آهسته آهسته راه را می‌پیمودند. صداهای مردان هم‌سرنوشت در هم می‌پیچیده. یکی از گرمی، یکی از تشنگی و یکی هم از گرسنگی شکایت داشته. پدر در دشت های داغ که آواز خر به خدا نمی‌رسد، میان خار و سنگ، لنگ‌لنگان با پای سوخته‌اش راه می‌رفت. در بساطش چیزی بیش از دو بطری آب نبود، که یکی از بطری هایش را به یک مرد پیر داده بود. به‌نظر می‌رسیده مردم دیوانه شده بودند که همچون لشکر مورچه به سوی مرز می‌دویدند. پدر با تقلای فروان، خود را به خاک ایران رسانده بود و بعد از جابه‌جایی، در یک تکه کاغذ، چندی از حالش نوشته بود؛ کمی از سلامتی‌ و کمی هم از سختی های راهش. شاید یک ماه یا بیش‌تر نامه در راه بوده.
114	Normal	کاکایم‌ مثل پدر سواد نداشت، اما با سیاهی خط آشنا بود، از این‌که قرآن می‌توانست بخواند، خط فارسی هم می‌خواند. کاکایم با لکنت فروان، نامه را برای مادرکلان خوانده بود. مادر کلان بعد از آن نامه، سفره‌ی تشویشش را جمع کرده و مادر هم اندکی دل درون سینه‌اش قرار و آرام گرفته بود.
115	Normal	پدر دو سال بود که کار می‌کرد بدون این‌که از چیزی باخبر باشد و یا بوسه‌ای به پیشانی اولین فرزندش زده باشد. خواهرم سخاوت انگشتان پدر را احساس نتوانسته بود. در یک‌ونیم سالگی بیمار شده و هر لحظه تشنج می‌گرفت. فال‌بین روستا فالش را گرفته بود و گفته‌بود که باد پریان تکانش داده. مادر با صدای بیم‌ناک تایید کرده‌بود و گفته‌بود سر شامی زیر سایه‌ای درخت غلتیده. یک هفته‌ای بیمار بود و دیگر تاب آورده نتوانسته و مرده بود.
116	Normal	هفت قبر، یک مادر
117	Normal	حالا مادر پیر شده، آنقدر که چشمانش سوراخ سوزن را نمی‌بیند. کهنه درد دارد و همیشه دارو می‌خورد. مادر از جوانی‌‌اش چندان خاطره‌ای خوش ندارد. هفت فرزندش در قبرستان زیر خروارها خاک خفته‌اند. مادر، سال‌های سال، سر هفت قبر قبرستان روستا، جدا جدا ناله می‌کرد. حالا از صبر بده‌کار و از حوصله گریزان شده. هنوز هم درون‌ گذشته‌اش دود تلخی از اندوه تنوره می‌کشد. اگر موی قیچی شده‌ای خواهرم و گرفته‌گی ناخن‌های برادر را در صندق ‌اش نمی‌دیدم، نمی‌دانستم، برای چه همیشه پدر دنیا را لعنت می‌کند.
118	Normal	می‌گوید: «به پدر دنیا را لعنت! هیچ ارزشی ندارد. آن‌ها کجا شدند؟»
119	Normal	مادر از زمانی‌که‌ یک‌و‍‌نیم‌ساله بوده، مادرش رفته بوده تا با هزار‌ساله‌گان زیر خاک هم‌ سفره شود. مادر هیچ وقت به گفته‌ی خودش، گرمی بوسه‌ای مادرش را روی صورت، حس‌ نتوانسته. پدر کلان از این‌که مادرم آخرین دخترش بود در کمال نازدانه‌گی بزرگش کرده. اما بر حسب رسم و رواج، کودکی بیش نبود که بساط ازدواجش راه انداخت.
